Pos,Team,Played,W,D,L,GF,GA,Gdiff,Points
1,Man City,30,26,3,1,85,20,65,81
2,Man Utd,30,20,5,5,58,23,35,65
3,Liverpool,31,18,9,4,73,34,39,63
4,Tottenham,30,18,7,5,59,25,34,61
5,Chelsea,30,17,5,8,52,27,25,56
6,Arsenal,30,14,6,10,55,41,14,48
7,Burnley,30,11,10,9,27,26,1,43
8,Leicester,30,10,10,10,45,43,2,40
9,Everton,31,11,7,13,37,50,-13,40
10,Bournemouth,31,9,9,13,37,49,-12,36
11,Watford,31,10,6,15,39,55,-16,36
12,Brighton,30,8,10,12,28,40,-12,34
13,Newcastle,30,8,8,14,30,40,-10,32
14,Swansea,30,8,7,15,25,42,-17,31
15,Huddersfield,31,8,7,16,25,52,-27,31
16,Crystal Palace,31,7,9,15,30,48,-18,30
17,West Ham,30,7,9,14,36,57,-21,30
18,Southampton,30,5,13,12,29,44,-15,28
19,Stoke,31,6,9,16,29,58,-29,27
20,West Brom,31,3,11,17,24,49,-25,20
